Review Id,Review,Ratings,Review Date;
6fb93778-651a-4ad1-b5ed-67dd0bd35aac,good,5,8/23/2024 19:30;
81caeefd-3a28-4601-a898-72897ac906f5,good,5,8/23/2024 19:28;
452af49e-1d8b-4b68-b1ac-a94c64cb1dd5,nice app,5,8/23/2024 19:22;
"372a4096-ee6a-4b94-b046-cef0b646c965,""nice, ig"",5,8/23/2024 19:20";
"b0d66a4b-9bde-4b7c-8b11-66ed6ccdd7da,""this is a great app, the bot is so accurate to anything, it gives me tips, in gaming, studies, and life, etc. This app is also helpful if you were having problems in things! also there are some problems, about the server glitch, but don't worry, some glitches are just seconds, overall a great app. note: the GPT-4o is more powerful, and accurate than the regular one."",5,8/23/2024 19:20";
9cdc3f78-15cd-4e9d-9287-31bc5af496c4,so nice app,5,8/23/2024 19:18;
"3c26ee92-4d72-45ee-9242-caab930903ca,""just love this app, or guy"",4,8/23/2024 19:14";
f293ed19-688a-42e2-8282-ddd077771a94,great app,1,8/23/2024 19:12;
99af016c-6db2-4f24-9952-cb3bece40be8,Very impressive,5,8/23/2024 19:11;
27dd6ea5-ada3-4795-a297-6faa7d4b6ba2,helps with coding a lot this ai is great for everyone,5,8/23/2024 19:11;
"17769ae4-51f6-439c-af12-f59d242e1f6b,""I am not very happy with this because chatgpt answers the questions I ask but it stops midway. Then even after continuous efforts it does not give complete answer. This is not very correct.Please fix it so that there is no more trouble. This is a very wrong thing, after some use you are asked to upgrade which is very expensive.😔☹️"",3,8/23/2024 19:09";
76fe1918-3475-41c2-aa34-63e2067d61e0,good,4,8/23/2024 19:09;
1d2246ee-23b3-4102-867f-af250730da1d,best ❤️‍🩹❤️‍🩹,5,8/23/2024 19:08;
0d56386b-40d9-48f9-8d89-c1091256fd2d,nice,5,8/23/2024 19:07;
4f46b014-fcfb-4a75-8c7d-000fc8f51d9c,I love GPT-4o mini,5,8/23/2024 19:04;
b752c115-b8e3-4f8b-b861-c061b2712af9,its the best,5,8/23/2024 19:03;
ebe189d2-27e0-4779-bb71-ca243512ac2b,It used to be good but now the app keeps saying an error has occured when I try submit something so I don't know what's going on,3,8/23/2024 19:02;
fe9aceae-dca8-446e-9514-4df91a84976f,🫶🏻,5,8/23/2024 19:01;
